id,name,parent_id,display_order,level,,new_id,new_parent_id,name
1,メンズ,0,0,1,,1,0,メンズ
2,トップス,1,3,2,,11,1,トップス
3,Tシャツ/カットソー(半袖/袖なし),2,3,3,,21,11,Tシャツ/カットソー(半袖/袖なし)
4,Tシャツ/カットソー(七分/長袖),2,3,3,,31,11,Tシャツ/カットソー(七分/長袖)
5,シャツ,2,3,3,,41,11,シャツ
6,ポロシャツ,2,3,3,,51,11,ポロシャツ
7,タンクトップ,2,3,3,,61,11,タンクトップ
8,ニット/セーター,2,3,3,,71,11,ニット/セーター
9,パーカー,2,3,3,,81,11,パーカー
10,カーディガン,2,3,3,,91,11,カーディガン
11,スウェット,2,3,3,,101,11,スウェット
12,ジャージ,2,3,3,,111,11,ジャージ
13,ベスト,2,3,3,,121,11,ベスト
14,その他,2,3,3,,131,11,その他
15,ジャケット/アウター,1,2,2,,141,1,ジャケット/アウター
16,テーラードジャケット,15,2,3,,151,141,テーラードジャケット
17,ノーカラージャケット,15,2,3,,161,141,ノーカラージャケット
18,Gジャン/デニムジャケット,15,2,3,,171,141,Gジャン/デニムジャケット
19,レザージャケット,15,2,3,,181,141,レザージャケット
20,ダウンジャケット,15,2,3,,191,141,ダウンジャケット
21,ライダースジャケット,15,2,3,,201,141,ライダースジャケット
22,ミリタリージャケット,15,2,3,,211,141,ミリタリージャケット
23,ナイロンジャケット,15,2,3,,221,141,ナイロンジャケット
24,フライトジャケット,15,2,3,,231,141,フライトジャケット
25,ダッフルコート,15,2,3,,241,141,ダッフルコート
26,ピーコート,15,2,3,,251,141,ピーコート
27,ステンカラーコート,15,2,3,,261,141,ステンカラーコート
28,トレンチコート,15,2,3,,271,141,トレンチコート
29,モッズコート,15,2,3,,281,141,モッズコート
30,パンツ,1,4,2,,291,1,パンツ
31,デニム/ジーンズ,30,4,3,,301,291,デニム/ジーンズ
32,ワークパンツ/カーゴパンツ,30,4,3,,311,291,ワークパンツ/カーゴパンツ
33,スラックス,30,4,3,,321,291,スラックス
34,チノパン,30,4,3,,331,291,チノパン
35,ショートパンツ,30,4,3,,341,291,ショートパンツ
36,ペインターパンツ,30,4,3,,351,291,ペインターパンツ
37,サルエルパンツ,30,4,3,,361,291,サルエルパンツ
38,オーバーオール,30,4,3,,371,291,オーバーオール
39,その他,30,4,3,,381,291,その他
40,靴,1,5,2,,391,1,靴
41,スニーカー,40,5,3,,401,391,スニーカー
42,サンダル,40,5,3,,411,391,サンダル
43,ブーツ,40,5,3,,421,391,ブーツ
44,モカシン,40,5,3,,431,391,モカシン
45,ドレス/ビジネス,40,5,3,,441,391,ドレス/ビジネス
46,長靴/レインシューズ,40,5,3,,451,391,長靴/レインシューズ
47,デッキシューズ,40,5,3,,461,391,デッキシューズ
48,その他,40,5,3,,471,391,その他
49,バッグ,1,6,2,,481,1,バッグ
50,ショルダーバッグ,49,6,3,,491,481,ショルダーバッグ
51,トートバッグ,49,6,3,,501,481,トートバッグ
52,ボストンバッグ,49,6,3,,511,481,ボストンバッグ
53,リュック/バックパック,49,6,3,,521,481,リュック/バックパック
54,ウエストポーチ,49,6,3,,531,481,ウエストポーチ
55,ボディーバッグ,49,6,3,,541,481,ボディーバッグ
56,ドラムバッグ,49,6,3,,551,481,ドラムバッグ
57,ビジネスバッグ,49,6,3,,561,481,ビジネスバッグ
58,トラベルバッグ,49,6,3,,571,481,トラベルバッグ
59,メッセンジャーバッグ,49,6,3,,581,481,メッセンジャーバッグ
60,エコバッグ,49,6,3,,591,481,エコバッグ
61,その他,49,6,3,,601,481,その他
62,スーツ,1,2,2,,611,1,スーツ
63,スーツジャケット,62,2,3,,621,611,スーツジャケット
64,スーツベスト,62,2,3,,631,611,スーツベスト
65,スラックス,62,4,3,,641,611,スラックス
66,セットアップ上,62,2,3,,651,611,セットアップ上
67,セットアップ下,62,4,3,,661,611,セットアップ下
68,その他,62,2,3,,671,611,その他
