id,"created_at","updated_at","date"
32,"2017-03-26 11:47:53","2017-03-26 11:47:53","2017-03-27"
33,"2017-03-26 13:39:27","2017-03-26 13:39:27","2017-03-28"
34,"2017-03-26 13:39:30","2017-03-26 13:39:30","2017-03-29"
35,"2017-03-26 13:39:35","2017-03-26 13:39:35","2017-03-30"
36,"2017-03-26 13:39:42","2017-03-26 13:39:42","2017-03-31"
38,"2017-03-27 14:12:44","2017-03-27 14:12:44","2017-04-01"
40,"2017-04-01 12:39:59","2017-04-01 12:39:59","2017-04-03"
41,"2017-04-02 14:39:32","2017-04-02 14:39:32","2017-04-04"
42,"2017-04-02 14:43:25","2017-04-02 14:43:25","2017-04-05"
43,"2017-04-02 14:45:35","2017-04-02 14:45:35","2017-04-06"
44,"2017-04-06 15:49:32","2017-04-06 15:49:32","2017-04-07"
46,"2017-04-09 13:39:35","2017-04-09 13:39:35","2017-04-10"
47,"2017-04-09 13:42:09","2017-04-09 13:42:09","2017-04-11"
48,"2017-04-09 13:42:14","2017-04-09 13:42:14","2017-04-12"
49,"2017-04-09 13:42:19","2017-04-09 13:42:19","2017-04-13"
50,"2017-04-09 13:42:26","2017-04-09 13:42:26","2017-04-14"
51,"2017-04-16 12:52:13","2017-04-16 12:52:13","2017-04-17"
52,"2017-04-16 12:52:19","2017-04-16 12:52:19","2017-04-18"
53,"2017-04-16 12:53:06","2017-04-16 12:53:06","2017-04-19"
54,"2017-04-16 12:53:23","2017-04-16 12:53:23","2017-04-20"
55,"2017-04-16 12:53:30","2017-04-16 12:53:30","2017-04-21"
56,"2017-04-24 14:13:19","2017-04-24 14:13:19","2017-04-25"
57,"2017-04-24 14:13:25","2017-04-24 14:13:25","2017-04-26"
59,"2017-04-24 14:14:06","2017-04-24 14:14:06","2017-04-27"
61,"2017-04-30 13:52:08","2017-04-30 13:52:08","2017-05-01"
62,"2017-04-30 13:52:17","2017-04-30 13:52:17","2017-05-02"
63,"2017-05-04 04:31:26","2017-05-04 04:31:26","2017-05-15"
64,"2017-05-04 04:33:02","2017-05-04 04:33:02","2017-05-16"
65,"2017-05-04 04:35:58","2017-05-04 04:35:58","2017-05-17"
66,"2017-05-04 04:43:51","2017-05-04 04:43:51","2017-05-19"
67,"2017-05-04 04:44:31","2017-05-04 04:44:31","2017-05-18"
71,"2017-05-04 07:28:31","2017-05-04 07:28:31","2017-05-08"
72,"2017-05-04 07:28:40","2017-05-04 07:28:40","2017-05-09"
73,"2017-05-04 07:31:14","2017-05-04 07:31:14","2017-05-10"
74,"2017-05-04 07:31:26","2017-05-04 07:31:26","2017-05-11"
75,"2017-05-04 07:31:32","2017-05-04 07:31:32","2017-05-12"
76,"2017-05-04 08:21:35","2017-05-04 08:21:35","2017-05-05"
79,"2017-05-29 13:58:34","2017-05-29 13:58:34","2017-05-29"
80,"2017-05-30 11:06:38","2017-05-30 11:06:38","2017-05-31"
81,"2017-05-31 22:21:36","2017-05-31 22:21:36","2017-06-01"
82,"2017-06-01 12:39:27","2017-06-01 12:39:27","2017-06-02"
83,"2017-06-04 03:55:21","2017-06-04 03:55:21","2017-06-05"
84,"2017-06-04 12:59:47","2017-06-04 12:59:47","2017-06-06"
85,"2017-06-04 13:03:21","2017-06-04 13:03:21","2017-06-07"
86,"2017-06-07 14:57:56","2017-06-07 14:57:56","2017-06-08"
87,"2017-06-11 14:10:52","2017-06-11 14:10:52","2017-06-12"
88,"2017-06-11 14:13:48","2017-06-11 14:13:48","2017-06-13"
89,"2017-06-13 14:53:46","2017-06-13 14:53:46","2017-06-14"
90,"2017-06-18 13:35:30","2017-06-18 13:35:30","2017-06-19"
91,"2017-06-18 13:36:34","2017-06-18 13:36:34","2017-06-20"
92,"2017-06-18 13:39:23","2017-06-18 13:39:23","2017-06-21"
93,"2017-06-18 13:39:39","2017-06-18 13:39:39","2017-06-22"
94,"2017-07-04 13:08:10","2017-07-04 13:08:10","2017-07-05"
95,"2017-07-04 13:08:18","2017-07-04 13:08:18","2017-07-06"
96,"2017-07-04 13:08:22","2017-07-04 13:08:22","2017-07-07"
97,"2017-07-09 12:22:14","2017-07-09 12:22:14","2017-07-10"
98,"2017-07-09 12:26:05","2017-07-09 12:26:05","2017-07-11"
