"id","user_id","created_at","updated_at","date","coordinate_id"
32,7,"2017-03-26 11:47:53","2017-03-26 11:47:53","2017-03-27",20
33,7,"2017-03-26 13:39:27","2017-03-26 13:39:27","2017-03-28",21
34,7,"2017-03-26 13:39:30","2017-03-26 13:39:30","2017-03-29",22
35,7,"2017-03-26 13:39:35","2017-03-26 13:39:35","2017-03-30",23
36,7,"2017-03-26 13:39:42","2017-03-26 13:39:42","2017-03-31",24
38,7,"2017-03-27 14:12:44","2017-03-27 14:12:44","2017-04-01",26
40,7,"2017-04-01 12:39:59","2017-04-01 12:39:59","2017-04-03",28
41,7,"2017-04-02 14:39:32","2017-04-02 14:39:32","2017-04-04",29
42,7,"2017-04-02 14:43:25","2017-04-02 14:43:25","2017-04-05",30
43,7,"2017-04-02 14:45:35","2017-04-02 14:45:35","2017-04-06",31
44,7,"2017-04-06 15:49:32","2017-04-06 15:49:32","2017-04-07",32
46,7,"2017-04-09 13:39:35","2017-04-09 13:39:35","2017-04-10",34
47,7,"2017-04-09 13:42:09","2017-04-09 13:42:09","2017-04-11",35
48,7,"2017-04-09 13:42:14","2017-04-09 13:42:14","2017-04-12",36
49,7,"2017-04-09 13:42:19","2017-04-09 13:42:19","2017-04-13",37
50,7,"2017-04-09 13:42:26","2017-04-09 13:42:26","2017-04-14",38
51,7,"2017-04-16 12:52:13","2017-04-16 12:52:13","2017-04-17",39
52,7,"2017-04-16 12:52:19","2017-04-16 12:52:19","2017-04-18",40
53,7,"2017-04-16 12:53:06","2017-04-16 12:53:06","2017-04-19",41
54,7,"2017-04-16 12:53:23","2017-04-16 12:53:23","2017-04-20",42
55,7,"2017-04-16 12:53:30","2017-04-16 12:53:30","2017-04-21",43
56,7,"2017-04-24 14:13:19","2017-04-24 14:13:19","2017-04-25",44
57,7,"2017-04-24 14:13:25","2017-04-24 14:13:25","2017-04-26",45
59,7,"2017-04-24 14:14:06","2017-04-24 14:14:06","2017-04-27",47
61,7,"2017-04-30 13:52:08","2017-04-30 13:52:08","2017-05-01",49
62,7,"2017-04-30 13:52:17","2017-04-30 13:52:17","2017-05-02",50
63,7,"2017-05-04 04:31:26","2017-05-04 04:31:26","2017-05-15",51
