id,brand,category_id,user_id,year,price,category_id_new
36,B & Y,8,11,2016,,71
39,A.P.C,31,11,2016,,301
43,A.P.C,31,11,2014,,301
47,nano universe,8,11,2013,,71
48,Be Alle,34,11,2016,,331
49,American Rag Cie,29,11,,,281
50,PS Paul Smith,28,11,,,271
51,NB,41,11,2013,,401
52,Adidas Originals,41,11,2013,,401
53,A.P.C,27,11,,,261
54,B & Y,26,11,,,251
55,B & Y,5,11,,,41
56,Tomorrowland,8,11,,,71
57,B & Y,5,11,10800,,41
58,MUJI,31,11,2017,,301
59,NB,41,11,2013,,401
60,A.P.C,5,11,23000,,41
61,N.Hollywood,5,11,,,41
62,Cerveno,43,11,,,421
63,Croket & Jones,45,11,2013,,441
64,B & Y,31,11,2013,,301
65,Ato,66,11,2009,,651
66,ISETAN MENS,63,11,2014,,621
67,Knot,66,11,2017,,651
68,Knot,67,11,,,661
69,Factotum,9,11,2014,,81
70,Adidas Originals,41,11,2017,,401
72,BEAMS,5,11,,,41
73,Lacoste,6,11,,,51
74,A.P.C,3,11,,,21
75,Lcoste,6,11,,,51
76,United Arrows,6,11,2017,14040,51
77,Rolling Stones,3,11,3996,,21
78,Factotum,35,11,2013,,341
80,wjk,3,11,2013,,21
81,Alden,45,11,2017,,441
82,Angus,5,11,16000,,41
83,MJM Weston,45,11,2017,,441
84,Maison Kitsune,3,11,,,21
85,American Rag Cie,35,11,2013,,341
86,Factotum,35,11,2015,,341
87,A.P.C,3,11,,,21
89,A.P.C,3,11,,,21
91,Liberty,6,11,11800,,51
92,ユニクロ ,3,11,1500,,21
93,United Arrows,66,11,2017,19980,651
94,United Arrows,67,11,2017,9180,661
95,スラ�_��ス,33,11,2017,38800,321
96,Fairfax,5,11,16200,,41
97,IseTAN MENS,33,11,2014,20000,321
